digit,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5
0,0.33533281087875366,-13.706823348999023,22.774694442749023,0.050242021679878235,-0.007294419687241316,0.0969451516866684,22.338134765625,12.199519157409668,1.668479561805725,-16.848695755004883,20.383424758911133,0.010727801360189915,0.8364898562431335,4.8602614402771,1.172478199005127,19.581270217895508,613.3212890625,1298.67724609375,-49.548221588134766,1681.22265625,1010.2716674804688,-62.28173828125,2704.68603515625,967.8968505859375,-64.98323059082031,-499.3442077636719,90.25279998779297,26.763824462890625,18.61981964111328,-17.612762451171875
1,0.3373910188674927,-13.759625434875488,22.880781173706055,0.04497113078832626,-0.015708833932876587,0.09302090108394623,24.77290153503418,3.193232536315918,-9.906900405883789,-4.365038871765137,19.616313934326172,0.011149891652166843,0.8844956755638123,4.015658855438232,3.038649082183838,18.012601852416992,664.4113159179688,1367.0750732421875,-54.18373489379883,1684.751220703125,1113.688720703125,-62.864131927490234,2743.96923828125,965.322021484375,-67.73213958740234,-501.1808166503906,106.52658081054688,6.136213779449463,-10.963927268981934,-12.018815040588379
2,0.2671748697757721,-12.949540138244629,19.757816314697266,0.04228176176548004,0.001073883380740881,0.08395060896873474,16.72988510131836,16.397098541259766,1.9013577699661255,-12.988338470458984,17.311737060546875,0.009555480442941189,0.6205803751945496,4.328301429748535,4.078730583190918,18.23639678955078,727.7197875976562,1247.2716064453125,-80.57100677490234,1789.2847900390625,1047.309814453125,-90.7509765625,2752.99072265625,970.701904296875,-91.70309448242188,-530.6351318359375,67.40413665771484,34.7260856628418,16.532184600830078,-12.600476264953613
3,0.3082285523414612,-10.634856224060059,17.68782615661621,0.046110689640045166,-0.0010559404036030173,0.08144840598106384,14.477570533752441,19.218894958496094,6.21633768081665,-22.624624252319336,16.972225189208984,0.01024143397808075,0.6099910140037537,3.798758029937744,2.420274257659912,13.905172348022461,584.3042602539062,1258.875,-79.11536407470703,1660.42529296875,908.8941040039062,-89.89930725097656,2623.281982421875,1017.576904296875,-89.12403869628906,-515.8494873046875,59.694786071777344,42.31413650512695,26.97332000732422,-24.22609519958496
4,0.3909425437450409,-15.432364463806152,24.464780807495117,0.05764669552445412,-0.03217901661992073,0.12683027982711792,26.23566246032715,-0.8837488293647766,-20.87087631225586,-12.733163833618164,16.812406539916992,0.010030852630734444,0.646708071231842,3.35616397857666,0.6269626617431641,16.68204689025879,696.7509155273438,1290.434814453125,-74.02110290527344,1779.7432861328125,1061.8585205078125,-84.78695678710938,2793.078857421875,910.212890625,-88.61817932128906,-488.5301513671875,115.77017974853516,4.752529621124268,-27.983692169189453,-26.6610050201416
5,0.417720764875412,-6.369229793548584,15.554315567016602,0.04476859048008919,-0.006172388792037964,0.1286369115114212,13.985539436340332,-5.5931243896484375,-4.140467643737793,-8.754837989807129,14.642193794250488,0.006918941158801317,0.6132568717002869,2.4382050037384033,2.146132469177246,9.931180000305176,552.2233276367188,1251.7686767578125,-90.43643951416016,1516.5390625,1050.80029296875,-93.973388671875,2518.11572265625,927.2367553710938,-98.31449127197266,-463.2735290527344,70.02128601074219,-14.824626922607422,-0.600908100605011,-18.59715461730957
6,0.24581803381443024,-2.856860876083374,8.368589401245117,0.05167195573449135,0.004313026089221239,0.09228672832250595,2.2473645210266113,13.281811714172363,-1.3923683166503906,-18.99809455871582,7.205794334411621,0.0046566203236579895,0.34991326928138733,1.070538878440857,0.7587364315986633,3.2151176929473877,660.8453369140625,1168.196044921875,-152.5946502685547,1706.87841796875,935.2894287109375,-156.19886779785156,2645.1630859375,1015.9735107421875,-154.6581268310547,-554.2264404296875,23.69194984436035,31.917688369750977,11.112854957580566,-20.756717681884766
7,0.33190929889678955,-9.438380241394043,16.179964065551758,0.046009354293346405,-0.0029667627532035112,0.10747551918029785,14.008209228515625,6.475948810577393,1.6124204397201538,-16.375553131103516,14.678079605102539,0.007595349568873644,0.664780855178833,2.854525089263916,0.5351568460464478,10.988911628723145,592.8854370117188,1267.5601806640625,-92.41097259521484,1596.9561767578125,1042.3026123046875,-97.96627807617188,2595.274169921875,911.146728515625,-100.87056732177734,-501.6629333496094,63.61452102661133,15.399272918701172,15.702939987182617,-20.88351058959961
8,0.34640583395957947,-9.101012229919434,13.468692779541016,0.054593030363321304,-0.0086822509765625,0.10815427452325821,10.207552909851074,21.679771423339844,-2.3439958095550537,-30.304170608520508,13.30881118774414,0.00871089193969965,0.5692216157913208,2.697972297668457,0.4543105363845825,8.720121383666992,590.6649169921875,1232.4835205078125,-100.06510162353516,1719.824462890625,781.172607421875,-109.7703628540039,2664.79150390625,1013.5079956054688,-106.61325073242188,-523.4541625976562,47.50959777832031,52.92249298095703,12.96969985961914,-36.13615798950195
9,0.3955425024032593,-10.923027992248535,19.171058654785156,0.03662007674574852,-0.006672377232462168,0.08138599246740341,19.358129501342773,5.207155704498291,2.663123369216919,-8.819539070129395,19.80597686767578,0.009115097112953663,0.801658034324646,4.555592060089111,4.049751281738281,15.322274208068848,604.3900756835938,1341.8538818359375,-51.92914962768555,1608.716552734375,1050.384033203125,-57.40180587768555,2648.857666015625,951.7501220703125,-62.30506896972656,-472.93182373046875,83.40711212158203,8.632060050964355,12.614913940429688,-14.068904876708984
