selected_rank,original_index,feature_name
0,0,Loudness_sma3
1,1,alphaRatio_sma3
2,2,hammarbergIndex_sma3
3,3,slope0-500_sma3
4,4,slope500-1500_sma3
5,5,spectralFlux_sma3
6,6,mfcc1_sma3
7,7,mfcc2_sma3
8,8,mfcc3_sma3
9,9,mfcc4_sma3
10,10,F0semitoneFrom27.5Hz_sma3nz
11,11,jitterLocal_sma3nz
12,12,shimmerLocaldB_sma3nz
13,13,HNRdBACF_sma3nz
14,14,logRelF0-H1-H2_sma3nz
15,15,logRelF0-H1-A3_sma3nz
16,16,F1frequency_sma3nz
17,17,F1bandwidth_sma3nz
18,18,F1amplitudeLogRelF0_sma3nz
19,19,F2frequency_sma3nz
20,20,F2bandwidth_sma3nz
21,21,F2amplitudeLogRelF0_sma3nz
22,22,F3frequency_sma3nz
23,23,F3bandwidth_sma3nz
24,24,F3amplitudeLogRelF0_sma3nz
25,25,mfcc_1
26,26,mfcc_2
27,27,mfcc_3
28,28,mfcc_4
29,29,mfcc_5
30,30,mfcc_6
31,31,mfcc_7
32,32,mfcc_8
33,33,mfcc_9
34,34,mfcc_10
35,35,mfcc_11
36,36,mfcc_12
37,37,mfcc_13
