digit,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,logRelF0-H1-A3_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz
0,0.41822367906570435,-12.503268241882324,21.185258865356445,0.028625555336475372,-0.00864459853619337,19.875017166137695,6.512450218200684,0.5945022702217102,-15.129695892333984,10.325275421142578,1627.79638671875,1083.9910888671875
1,0.4085811376571655,-11.718975067138672,21.68762969970703,0.024818100035190582,-0.016035763546824455,22.173213958740234,-2.0261905193328857,-8.526690483093262,-5.528498649597168,10.42121410369873,1589.423583984375,1181.358642578125
2,0.3516141176223755,-12.139443397521973,19.30849838256836,0.023292625322937965,-0.005922282114624977,18.16148567199707,8.31655502319336,0.11572939902544022,-11.778544425964355,9.38195514678955,1702.2890625,1075.33056640625
3,0.3789563775062561,-11.118277549743652,18.57634735107422,0.026874098926782608,-0.005800955463200808,16.847742080688477,10.374119758605957,3.4982893466949463,-18.5150146484375,8.86879825592041,1608.5872802734375,1023.0597534179688
4,0.4883558452129364,-14.802517890930176,23.524370193481445,0.03273032233119011,-0.02700192667543888,23.658252716064453,-2.5396580696105957,-13.940661430358887,-14.246686935424805,10.098394393920898,1714.521240234375,1160.5069580078125
5,0.49340805411338806,-8.141864776611328,17.815019607543945,0.02337704971432686,-0.011292795650660992,17.3270320892334,-7.699836254119873,-5.340245246887207,-6.674088954925537,4.653947830200195,1468.90771484375,1099.7960205078125
6,0.337670236825943,-8.35595417022705,13.916485786437988,0.025522349402308464,-0.007512970361858606,12.222040176391602,8.479856491088867,-2.7334342002868652,-15.713759422302246,1.7436398267745972,1579.2342529296875,993.2484741210938
7,0.41226860880851746,-10.598714828491211,17.97661590576172,0.025552500039339066,-0.010357612743973732,17.146854400634766,2.1913795471191406,-1.271998643875122,-14.528552055358887,3.8477301597595215,1519.2457275390625,1061.3343505859375
8,0.44081535935401917,-10.07857608795166,15.63642692565918,0.03106384538114071,-0.011671631596982479,14.018651008605957,10.225302696228027,-3.07938814163208,-22.20379066467285,4.812049865722656,1618.1817626953125,970.6859130859375
9,0.4550011456012726,-9.843796730041504,19.117549896240234,0.019921917468309402,-0.009400209411978722,18.803386688232422,-0.7214632630348206,0.126361683011055,-7.684299945831299,9.627175331115723,1535.267578125,1121.799072265625
