digit,pncc_1,pncc_2,pncc_3,pncc_4,pncc_5,pncc_6,pncc_7,pncc_8,pncc_9,pncc_10,pncc_11,pncc_12,pncc_13,pncc_delta_1,pncc_delta_2,pncc_delta_3,pncc_delta_4,pncc_delta_5,pncc_delta_6,pncc_delta_7,pncc_delta_8,pncc_delta_9,pncc_delta_10,pncc_delta_11,pncc_delta_12,pncc_delta_13,pncc_delta2_1,pncc_delta2_2,pncc_delta2_3,pncc_delta2_4
0,1.0081587475951892e-07,5.3686850520762164e-08,-2.6487880333547764e-08,5.507397915494039e-08,-4.100320438737981e-08,3.635135925605937e-08,2.013044619886273e-09,-7.688425895935325e-09,-1.6024289450911056e-08,-2.0209027340456487e-08,4.360058980523718e-09,2.7412175640506575e-08,-4.5184553876254085e-09,-0.03576795384287834,0.011573105119168758,-0.02824726141989231,0.03888031467795372,0.01773352175951004,-0.012614643201231956,-0.006778360344469547,0.0007851784466765821,0.000402238336391747,0.011837148107588291,-0.0020866231061518192,-0.017457762733101845,-0.005184500943869352,-0.013251726515591145,-0.001530903042294085,0.0007780448067933321,0.00961937103420496
1,8.56374882118871e-08,3.463283348992263e-08,1.576695396465766e-08,-6.846996569720432e-08,9.35606703222902e-09,2.8895856374333562e-08,-1.2965601037251417e-08,-2.8756783621020077e-08,-1.539977567688311e-08,5.100383448919388e-10,4.407445519660769e-09,6.216820391813371e-09,-1.0801131544724285e-08,-0.04335280507802963,-0.02061361074447632,0.043590180575847626,0.04387795925140381,-0.03325541317462921,-0.01002335175871849,0.021055715158581734,0.008114313706755638,-0.004862314555794001,0.007330857217311859,-0.016124553978443146,-0.022492798045277596,-0.015617068856954575,-0.018046917393803596,0.003920563496649265,0.0128667326644063,0.0005691857659257948
2,2.2975424940341327e-07,3.796585446025347e-08,-2.430558154742357e-08,2.5441490691946456e-08,3.6475080733566756e-09,-1.9129799966322025e-08,6.791370132930297e-09,-6.505481708884986e-10,-5.981394046727928e-09,6.709213629108035e-09,6.034241994967715e-09,-2.2761041051921893e-08,1.971338203787809e-09,-0.03519728034734726,0.07280396670103073,-0.029092885553836823,0.023385735228657722,-0.03880388289690018,-0.026692615821957588,-0.03650784119963646,-0.006159642711281776,-0.028651757165789604,0.004873816855251789,0.003748521441593766,-0.007265676278620958,0.020862458273768425,-0.0019717782270163298,-0.006325038615614176,-0.0043974826112389565,0.002987545682117343
3,-1.5427134769652184e-07,-1.894165357896327e-08,-3.401568804406452e-08,-3.148965888044586e-08,3.880469634509609e-08,-1.911983904534509e-09,-5.856343743282366e-10,1.4421646099549434e-08,1.585131914616511e-09,8.74051320209901e-09,1.5233881933696125e-09,6.915881201052798e-09,-1.3005887034012176e-08,-0.030876755714416504,0.050523560494184494,0.02536863274872303,-0.006531588267534971,-0.007407245226204395,-0.031049082055687904,-0.01983579806983471,0.019461479038000107,-0.017520306631922722,-0.0010583976982161403,-0.015129591338336468,-0.023145169019699097,0.013883288018405437,-0.009826001711189747,-0.01487469021230936,0.0023779741022735834,0.000951787456870079
4,6.49114397788253e-08,1.0691118035310865e-07,9.700844572080314e-09,2.2891239126465734e-08,3.3784736785946734e-08,2.054779280058483e-08,1.0188585530812588e-09,1.5805706965466015e-08,5.391905144591647e-09,-5.196631125414797e-09,3.107162305227007e-09,9.163280800805751e-09,-2.223976736104305e-08,-0.058566074818372726,-0.01200520433485508,0.04482769966125488,0.039880212396383286,-0.042510345578193665,-0.005312439985573292,0.016001449897885323,-0.016105107963085175,0.012894541025161743,0.01369114313274622,-0.03134860098361969,0.006658210419118404,0.018965547904372215,-0.013353695161640644,-0.01205027662217617,0.008829032070934772,0.004326028283685446
5,1.628331602887556e-07,-1.04747634566138e-07,2.9246667310189878e-08,-1.0858706822602926e-08,-3.1563807567636104e-08,9.196521766341448e-09,3.417443439346357e-09,-1.2841917751416076e-08,-2.2550898037820843e-08,3.213643395838517e-08,-2.8366189397388553e-08,7.561358765680037e-13,5.8826793436495e-10,-0.04963304474949837,0.03749769553542137,0.04367561265826225,-0.02323642186820507,-0.033638693392276764,0.02003495767712593,0.010296161286532879,-0.0006522799376398325,-0.008374591358006,-0.03151599317789078,0.014624979346990585,0.02641114592552185,-0.020985564216971397,-0.01558674406260252,0.006354294717311859,0.01034555397927761,-0.0051672994159162045
6,1.897572161624339e-07,8.41059311085246e-09,-8.532173301212254e-10,5.432199401411708e-08,-3.224860378736594e-08,9.104721421238082e-09,-2.386569697421237e-08,7.3925452426237825e-09,9.23824750032054e-09,-5.4882150379853556e-08,-1.5373135653362624e-08,1.4772376655258768e-09,7.869101814605983e-09,-0.03537286818027496,0.024003274738788605,0.014755947515368462,0.012770566157996655,-0.007877346128225327,-0.022737544029951096,-0.004787334240972996,0.010666950605809689,0.009212804026901722,0.00665291165933013,0.008341596461832523,-0.007488918956369162,0.023781267926096916,-0.011204246431589127,0.0009753244812600315,0.00012651011638808995,0.017696352675557137
7,-2.2420303391612606e-09,-6.239377370320653e-08,1.975766750206276e-08,2.1417811524315766e-08,-3.734278664069279e-09,-1.072387423306509e-08,7.165960269617244e-09,-7.527887646574527e-09,-1.686455064486836e-08,-1.3062306791766787e-08,-3.535594572667833e-08,7.343975205742481e-09,2.6551787435380447e-09,-0.021620385348796844,0.05252647027373314,0.006250436883419752,-0.004673905670642853,-0.03844141587615013,-0.02310219593346119,-0.02222682163119316,0.013891941867768764,-0.016687313094735146,-0.0031997093465179205,0.00214312132447958,-0.0016072964062914252,0.0024154079146683216,-0.006956727709621191,-0.0011170643847435713,0.0037354673258960247,-0.0008254249696619809
8,-3.5819752497445734e-08,-3.4709458418547e-08,-8.06183564350249e-09,7.424583259307838e-08,-3.158281103310401e-08,2.747047567197569e-08,-1.4107310875033363e-09,1.6393180146678787e-08,-2.9967666126395898e-09,4.2549563872285034e-09,4.017934074340701e-08,-7.1050760830360105e-09,2.1667205807318624e-09,-0.04500506445765495,-0.017714330926537514,0.009932617656886578,0.016288192942738533,0.0014023962430655956,-0.018990015611052513,0.056443165987730026,0.017255481332540512,-0.0017638647696003318,-0.02327766828238964,-0.015083597041666508,-0.017614779993891716,-0.006713561248034239,-0.017720544710755348,0.0033851938787847757,0.004589536227285862,0.013181342743337154
9,-1.2214773903451714e-07,4.057539015889233e-08,-6.917547068496788e-08,4.971332856484878e-08,-1.6981413608618823e-08,-4.310571455334866e-09,-1.5510289941289557e-08,-4.21972643493973e-08,5.383696333183252e-08,5.5884942895545464e-08,-4.842155121309588e-09,-3.5379532636881095e-10,-2.014305344744116e-08,-0.028148915618658066,-0.005684451665729284,0.008802800439298153,0.016718994826078415,0.03351271525025368,0.005523865111172199,-0.009719531051814556,-0.006989563815295696,0.01869017817080021,-0.011063301004469395,-0.006975243799388409,-0.010421620681881905,0.005148641299456358,-0.01056392677128315,0.002135571790859103,0.004615311976522207,0.0035436952020972967
